|r|English|French|Italian|German|Spanish|Korean|Japanese|
|COMBO_WRIST_TROPHY_KILL_LITE|Impale + A + A = Trophy Kill|Empaler +A+A = Prise de trophée|Impala +A+A = Trofeo Uccisione|Aufspießen +A+A=Trophäentötung|Empalar +A+A=Trofeo de matanza|꿰 뚫기 + + A = 트로피 킬|突き刺す+ A + A =トロフィーキル|
|CONTINUE|CONTINUE|CONTINUER|CONTINUARE|FORTFAHREN|CONTINUAR|계속|CONTINUE|
|CREDITS|CREDITS|CREDITS|CREDITS|CREDITS|CREDITS|CREDITS|CREDITS|
|CURRENT_PROGRESS_WILL_BE_LOST|PROGRESS WILL BE LOST.|PROGRESSION SERA PERDUE.|PERSI I PROGRESSI FATTI|SPIELSTAND GEHT VERLOREN.|PERDERÁ EL PROGRESO ACTUAL|진행이 손실됩니다.|PROGRESSは失われます。|
|DAMAGE|DAMAGE|DOMMAGE|DANNI|SCHADEN|DAÑOS|손상|DAMAGE|
|DASH|DASH|SAUT|SALTA|RENNEN|VELOZ|DASH|DASH|
|DISC_DESCRIPTION|This throwing weapon homes in on its target with lethal precision, it's spinning blades cutting our prey in half. It can take down multiple enemies in one swooping arc.|Cette arme de jet fond sur sa cible avec une précision mortelle. Ses lames tournantes découpent votre proie en deux. Il peut tuer plusieurs ennemis en un seul jet.|Questa arma da lanciare coglie il suo obiettivo con precisione letale, mentre le sue lame rotanti tagliano la preda a metà. Può colpire diversi nemici con un'unica traiettoria. |Diese Wurfwaffe erreicht ihr Ziel mit tödlicher Präzision. Bei bogenförmigem Flug kann sie mehrere Gegner pro Wurf erledigen.|Esta arma arrojadiza alcanza a su blanco con precisión letal, sus hojas giratorias cortan a la presa en dos. Puede alcanzar a múltiples enemigos con un solo vuelo en arco.|치명적인 정밀도와 목표에의 무기 가정을 던지는이, 그것은 반으로 우리의 먹이를 절단 블레이드를 회전있어. 그것은 하나의 습격 호에서 여러 원수를 취할 수 있습니다.|これは致命的な精度でそのターゲット上で武器の家を投げ、それが半分に私たちの獲物を切断刃を回転だ。それは1つ急襲アークで複数の敵をダウンさせることができます。|
|DO_YOU_WANT_TO_CONTINUE|DO YOU WANT TO CONTINUE?|VOULEZ-VOUS CONTINUER ?|VUOI CONTINUARE?|MÖCHTEST DU FORTFAHREN?|¿DESEA SEGUIR?|당신은 계속 하시겠습니까?|続行しますか。|
|DONT_MAKE_US_BODY_SPLICE_YOU|DON'T MAKE US BODY SLICE YOU|NE NOUS OBLIGEZ PAS À VOS METTRE EN PIÈCES|NON COSTRINGERCI A FARTI FUORI|GIB' UNS KEINEN ANLASS ZUR GEWALT|NO NOS HAGAS TENER QUE REBANARTE|미국 BODY는 당신을 슬라이스하지 마십시오|米国のBODYがあなたをスライスしないでください|
|DOUBLE_SPLICE|DOUBLE SPLICE|COUPE DOUBLE|DOPPIA GIUNTURA|DOPPELSPLEIßUNG|DOBLE EMPALME|DOUBLE SPLICE|DOUBLE SPLICE|
|DRUG_GANG_ENFORCER|Drug Gang Enforcer|Homme de main et narcotrafiquant|Membro di una gang di spacciatori|Drogendealer|Ejecutor de los traficantes|마약 갱 Enforcer를|麻薬ギャングエンフォーサ|
|ELITE_SNIPER|Elite Sniper|Tireuse d'élite|Cecchina d'elite|Elite-Scharfschütze|Tiradora de elite|엘리트 스나이퍼|エリートスナイパー|
|EMPTY_SLOT|EMPTY SLOT|EMPLACEMENT VIDE|SPAZIO VUOTO|LEERER SPEICHERPLATZ|VACIAR RANURA|빈 슬롯|空きスロット|
|ENERGY|ENERGY|ENERGIE|ENERGIA|ENERGIE|ENERGIA|ENERGY|エネルギー|
|EQUIP|EQUIP|ÉQUIPER|EQUIPE|AUSRÜS.|EQUIPO|EQUIP|装備する|
|EQUIPED|EQUIPPED|ÉQUIPÉ|FORNITO|AUSGER.|EQUIPADO|완비|備えた|
|EULA|End User Licence Agreement|Contrat de Licence Utilisateur Final|Accordo di licenza con l'utente finale|Endbenutzer-Lizenzvertrag|Acuerdo de licencia de usuario final|최종 사용자 라이센스 계약|エンドユーザー使用許諾契約書|
|EXIT_GAME|QUIT|QUITER|USCITE|QUIT|QUIT|QUIT|QUIT|
|EXTRAS_WORD|EXTRAS|EXTRAS|EXTRAS|EXTRAS|EXTRAS|EXTRAS|EXTRAS|
|FEATURE_NOT_AVAILABLE|Feature not enabled\nfor this demo.|Fonctionnalité non disponible\npour cette démonstration.|Funzionalità non supportata\nin questa demo.|Funktion nicht ermöglicht\nfür diese Version.|Operación no habilitada\npara esta demostración.|\ nfor에이 데모를 사용할 수 없습니다 있습니다.|レット\このデモ機能が有効になっていません。|
|FULL_VERSION_FEATURES1|t want to collect stuff. You don'|CHECK FULL VERSION|CHECK FULL VERSION|CHECK FULL VERSION|CHECK FULL VERSION|t는 물건을 수집합니다. 당신은 돈 '|tはものを収集したい。あなたドン '|
|FULL_VERSION_FEATURES2|The Cloak Generator and Thermal Vision help you track your prey through\n24 missions.\nWeild the fearsome Predator weapons:|CHECK FULL VERSION|CHECK FULL VERSION|CHECK FULL VERSION|CHECK FULL VERSION|망토 생성기 및 열 비전은 당신이 \ N24 미션을 통해 먹이를 추적하는 데 도움이 \ 무시 무시한 프레데터 무기를 nWeild.|クロークジェネレータとサーマルビジョンは\ N24ミッションを通してあなたの獲物を追跡するのに役立ち\恐ろしいプレデター武器をnWeild。：|
|FULL_VERSION_FEATURES3|Gain Honor Points as you collect the most prized trophies the heads of human prey. Use them to unlock new abilities and upgrade your gear.\nShow off your gruesome victories and trophies with online Leaderboards and Achievements through Crystal!|CHECK FULL VERSION|CHECK FULL VERSION|CHECK FULL VERSION|CHECK FULL VERSION|당신이 가장 아끼는 트로피 인간의 먹이의 머리를 수집으로 명예 점수를 얻을 수 있습니다. 새로운 능력을 잠금을 해제하고 장비를 업그레이드하는 데 사용할. 결정을 통해 온라인 리더 및 성과 함께 소름 끼치는 승리 및 트로피 오프 \ nShow!|あなたが最もすばらしいトロフィーを人間の獲物の頭を収集するように累積ポイントを得ることができます。新しい能力をアンロックし、あなたのギアをアップグレードするためにそれらを使用。クリスタルを通してオンラインリーダーボードと実績であなたの陰惨な勝利とトロフィーオフ\ n表示！|
|FULL_VERSION_TITLE1|IGN - 8.5/10 - Editor's Choice Award|CHECK FULL VERSION|CHECK FULL VERSION|CHECK FULL VERSION|CHECK FULL VERSION|IGN - 8.5/10 - 에디터의 선택 상|IGN  -  8.5/10  - エディターズチョイス賞を受賞|
|FULL_VERSION_WEAPONS|- Wrist Blades\n- Combi Stick\n- Plasma Cannon\n- Smart Disc\n- Net Gun|CHECK FULL VERSION|CHECK FULL VERSION|CHECK FULL VERSION|CHECK FULL VERSION|- 손목 블레이드 \ N-콤비 스틱 \ N-플라즈마 캐논 \ N-스마트 디스크 \ N-그물 건|- 手首のブレード\ N-コンビスティック\ N-プラズマキャノン\ N-スマートディスク\ N-Netのガン|
|GAME_STATISTICS|GAME STATISTICS|LES STATISTIQUES DE JEU|STATISTICHE DI GIOCO|SPIEL-STATISTIKEN|ESTADÍSTICAS DE JUEGO|게임 통계|ゲームSTATISTICS|
|GEAR|GEAR ROOM|MATÉRIEL|ATTREZZATURA|AUSRÜSTUNG|EQUIPO|GEAR 룸|GEARルーム|
|GET_FULL_VERSION|GET THE FULL VERSION|ACHETEZ LA VERSION COMPLÈTE DE|ACQUISTA LA VERSIONE COMPLETA|HOL' DIR DIE VOLLVERSION|CONSIGUE LA VERSIÓN COMPLETA|정식 버전|フルバージョンをGET|
|GET_POINTS|Get Honor\nPoints|Obtenez Honor \ NPOINTS|Get Honor \ NPOINTS|Holen Honor \ nPoints|Obtener Honor \ NPOINTS|\ nPoints 명예를 얻을|\ nPointsを敬えゲット|
|GRAB|GRAB|ATTRAPER|AFFERRA|GREIFEN|AGARRAR|횡령|GRAB|
|HEALTH|HEALTH|SANTÉ|STATO|GESUND.|SALUD|건강|HEALTH|
|HEALTH_BAR|HEALTH BAR|BARRE DE SANTÉ|BARRA DI STATO|GESUNDHEITSANZEIGE|BARRA DE SALUD|건강 BAR|ヘルスバー|
|HEAVY_ATTACK|HEAVY ATTACK|ATTAQUE PUISSANTE|ATTACCO POTENTE|SCHWERER ANGRIFF|ATAQUE PESADO|HEAVY 공격|激しい攻撃|
|HONOR_POINTS|HONOR POINTS|P. D'HONNEUR|PUNTI D'ONORE|EHRENPUNKTE|P. DE HONOR|명예 점수|累積ポイント|
|HONOR_POINTS_GAINED|HONOR POINTS GAINED|POINTS D'HONNEUR GAGNÉS|PUNTI PER L'ONORE GUADAGNATI|ERHALTENE EHRENPUNKTE|PUNTOS DE HONOR GANADOS|명예 점수가 획득|名誉の獲得したポイントは|
|HONOR_POINTS_TOTAL|TOTAL HONOR POINTS|POINTS D'HONNEUR TOTAL|PUNTI D'ONORE TOTALE|TOTAL EHRENPUNKTE|PUNTOS DE HONOR TOTAL|TOTAL 명예 점수|合計累積ポイント|
|HUNT|HUNT|CHASSE|CACCIA|JAGD|CAZA|HUNT|HUNT|
|INSTRUCTIONS|INSTRUCTIONS|INSTRUCTIONS|ISTRUZIONI|ANLEITUNG|INSTRUCCIONES|지침|INSTRUCTIONS|
|LANGUAGE|LANGUAGE|LANGUE|LINGUA|SPRACHE|IDIOMA|언어|LANGUAGE|
|LEVEL|LEVEL|NIVEAU|LIVELLO|LEVEL|NIVEL|LEVEL|LEVEL|
|LEVEL_LOCKED|Level Locked - Complete previous missions to unlock|Niveau verrouillé - faites les missions précédentes pour déverrouiller|Livello Bloccato – Completa le missioni precedenti per sbloccarlo|Level gesperrt – Erfülle zum Freischalten die vorherigen Missionen|Nivel bloqueado - Completa las misiones previas para desbloquearlo|레벨 잠금 - 전체 이전 임무의 잠금을 해제|ロックレベル - ロックを解除する完全な前のミッション|
|LEVEL_LOCKED_SURVIVAL|Level Locked - Complete mission 9 to unlock|Niveau verrouillé - faites la mission 9 pour déverrouiller|Livello Bloccato – Completa la missione 9 per sbloccarlo|Level gesperrt – Erfülle zum Freischalten die Mission 9|Nivel bloqueado - Completa la misión 9 para desbloquearlo|레벨 잠금 - 전체 미션 9의 잠금을 해제|ロックレベル - ロックを解除するために完了ミッション9|
|LEVEL_LOCKED_WAVE_ATTACK|Level Locked - Complete mission 23 to unlock|Niveau verrouillé - faites la mission 23 pour déverrouiller|Livello Bloccato – Completa la missione 23 per sbloccarlo|Level gesperrt – Erfülle zum Freischalten die Mission 23|Nivel bloqueado - Completa la misión 23 para desbloquearlo|레벨 잠금 - 잠금을 해제하는 완벽한 임무 23|ロックレベル - ロックを解除する完全なミッション23|
|LOADING|LOADING|CHARGEMENT|CARICANDO|LADEN|CARGANDO|로드 중|LOADING|
|LOCKED|LOCKED|VERROU.|BLOCC.|GESPERRT|BLOQ.|LOCKED|LOCKED|
|MAIN_MENU_WORD|MAIN MENU|MENU|MENU|MENÜ|MENÚ|메인 메뉴|MAIN MENU|
|MASK|MASK|MASQUE|MASCHERA|MASKE|MÁSCARA|MASK|MASK|
|MASK_TYPE1_NAME|CLASSIC|CLASSIQUE|CLASSICO|KLASSIKER|CLÁSICO|CLASSIC|CLASSIC|
|MASK_TYPE2_NAME|FALCONER|FALCONER|FALCONER|FALCONER|FALCONER|매 사냥꾼|鷹匠|
|MASK_TYPE3_NAME|TRACKER|TRACKER|TRACKER|TRACKER|TRACKER|TRACKER|TRACKER|
|MASK_TYPE4_NAME|MR. BLACK|MR. BLACK|MR. BLACK|MR. BLACK|MR. BLACK|MR. BLACK|MR。 BLACK|
|MASK1_DESCRIPTION|This mask will allow you to gain the upper edge over your prey and will help you to move faster across the hunting ground.|Le masque vous permet de devancer votre proie et de vous déplacer plus rapidement sur le terrain de chasse.|Questa maschera ti darà un vantaggio sulla tua preda e ti aiuterà a spostarti più velocemente sul terreno di caccia.|Diese Maske erlaubt dir, deiner Beute gegenüber die Oberhand zu gewinnen und lässt dich schneller durch das Jagdrevier laufen.|Esta máscara te permitirá acercarte a tu presa y te ayudará a moverte más rápido por el terreno de caza.|이 마스크는 당신이 먹이에 상 우위를 확보 할 수 있도록하고 사냥터를 통해 빠르게 이동하는 데 도움이 될 것입니다.|このマスクは、あなたの獲物の上に上辺を獲得することができますし、狩猟場を横切って速く移動するのに役立ちます。|
|MASK2_DESCRIPTION|The raptor lines of this mask show it once adorned a Falconer Predator, it will increase your ability to maintain the energy on your weapons and sensors.|La forme du masque fait penser à un rapace et a été porté par un fauconnier. Il vous permettra de mieux canaliser votre énergie sur vos armes et vos capteurs sensoriels.|Le forme da rapace di questa maschera indicano che un tempo apparteneva a un Falconer Predator. Aumenterà la capacità di conservare l'energia delle tue armi e dei tuoi sensori.|Die Raubvogellinien auf dieser Maske zeigen, dass sie einst einem Falkner-Predator gehörte. Sie wird dir helfen, die Energie deiner Waffen und Sensoren länger aufrecht zu halten.|Las líneas de caza en la máscara significa que una vez adornó un Halcón Predator,e incrementará tu habilidad para mantener la energía en tus armas y tus sensores|이 마스크의 랩터 라인은 한 번 팔 코너 프레데터를 장식 보여, 그것은 당신의 무기와 센서에 에너지를 유지하는 능력을 증가 할 것이다.|このマスクの猛禽ラインは、それがかつてファルコナープレデターを飾っ見せる、それはあなたの武器とセンサーでエネルギーを維持するためにあなたの能力を高めます。|
|MASK3_DESCRIPTION|The tusks on this helmet signify it once belonged to a Flusher Predator, it will give you greater ability to withstand damage during attacks.|Les défenses sur son casque appartenait à un Maître-chien, et vous permettront de mieux résister aux attaques.|Le zanne su questo elmo fanno capire che un tempo appartenevano a un Flusher Predator. Ti permetterà di sopportare meglio i danni durante gli attacchi.|Die Zähne auf diesem Helm zeigen, dass er einst einem Kanal-Predator gehörte. Durch ihn erhälst du die Fähigkeit, erlittenem Schaden besser standzuhalten.|Los colmillos en el casco significan que una vez perteneció a un flusher Predator, y te dará una habilidad mayor para resistir el daño durante los ataques.|한 번 변기 프레데터에 속한이 헬멧 엄니는 의미, 그것은 당신에게 공격 도중 손상을 견딜 수있는 더 많은 기능을 제공합니다.|このヘルメットの上の牙は、それがかつてフラッシャプレデターに属していた意味、それはあなたの攻撃中にダメージを耐える大きな能力を与える。|
